date,asset_id,event_type,count,source,medium,campaign,content_id,variant_id,quality_score
2026-07-06,champion-3q-line-v0,link_click,,manual_review,growth_loop,week0-cta-text,2026-07-06-champion,champion-3q-line-v0,
2026-07-06,champion-3q-line-v0,page_view,,manual_review,growth_loop,week0-cta-text,2026-07-06-champion,champion-3q-line-v0,
2026-07-06,champion-3q-line-v0,cta_click,,manual_review,growth_loop,week0-cta-text,2026-07-06-champion,champion-3q-line-v0,
2026-07-06,champion-3q-line-v0,line_add,,manual_review,growth_loop,week0-cta-text,2026-07-06-champion,champion-3q-line-v0,
2026-07-06,champion-3q-line-v0,lead_submit,,manual_review,growth_loop,week0-cta-text,2026-07-06-champion,champion-3q-line-v0,
2026-07-06,champion-3q-line-v0,deal,,manual_review,growth_loop,week0-cta-text,2026-07-06-champion,champion-3q-line-v0,
2026-07-06,champion-3q-line-v0,quality_flag,,manual_review,growth_loop,week0-cta-text,2026-07-06-champion,champion-3q-line-v0,
2026-07-06,challenger-week0-cta-text-v1,link_click,,manual_review,growth_loop,week0-cta-text,2026-07-06-challenger,challenger-week0-cta-text-v1,
2026-07-06,challenger-week0-cta-text-v1,page_view,,manual_review,growth_loop,week0-cta-text,2026-07-06-challenger,challenger-week0-cta-text-v1,
2026-07-06,challenger-week0-cta-text-v1,cta_click,,manual_review,growth_loop,week0-cta-text,2026-07-06-challenger,challenger-week0-cta-text-v1,
2026-07-06,challenger-week0-cta-text-v1,line_add,,manual_review,growth_loop,week0-cta-text,2026-07-06-challenger,challenger-week0-cta-text-v1,
2026-07-06,challenger-week0-cta-text-v1,lead_submit,,manual_review,growth_loop,week0-cta-text,2026-07-06-challenger,challenger-week0-cta-text-v1,
2026-07-06,challenger-week0-cta-text-v1,deal,,manual_review,growth_loop,week0-cta-text,2026-07-06-challenger,challenger-week0-cta-text-v1,
2026-07-06,challenger-week0-cta-text-v1,quality_flag,,manual_review,growth_loop,week0-cta-text,2026-07-06-challenger,challenger-week0-cta-text-v1,
2026-07-06,challenger-week0-cta-text-v1,link_click,,manual_review,growth_loop,week0-cta-text,2026-07-06-line-cta,challenger-week0-cta-text-v1-line,
2026-07-06,challenger-week0-cta-text-v1,page_view,,manual_review,growth_loop,week0-cta-text,2026-07-06-line-cta,challenger-week0-cta-text-v1-line,
2026-07-06,challenger-week0-cta-text-v1,cta_click,,manual_review,growth_loop,week0-cta-text,2026-07-06-line-cta,challenger-week0-cta-text-v1-line,
2026-07-06,challenger-week0-cta-text-v1,line_add,,manual_review,growth_loop,week0-cta-text,2026-07-06-line-cta,challenger-week0-cta-text-v1-line,
2026-07-06,challenger-week0-cta-text-v1,lead_submit,,manual_review,growth_loop,week0-cta-text,2026-07-06-line-cta,challenger-week0-cta-text-v1-line,
2026-07-06,challenger-week0-cta-text-v1,deal,,manual_review,growth_loop,week0-cta-text,2026-07-06-line-cta,challenger-week0-cta-text-v1-line,
2026-07-06,challenger-week0-cta-text-v1,quality_flag,,manual_review,growth_loop,week0-cta-text,2026-07-06-line-cta,challenger-week0-cta-text-v1-line,
2026-07-06,challenger-week0-cta-text-v1,link_click,,manual_review,growth_loop,week0-cta-text,week0-post-001,cta-v1-diagnostic,
2026-07-06,challenger-week0-cta-text-v1,page_view,,manual_review,growth_loop,week0-cta-text,week0-post-001,cta-v1-diagnostic,
2026-07-06,challenger-week0-cta-text-v1,cta_click,,manual_review,growth_loop,week0-cta-text,week0-post-001,cta-v1-diagnostic,
2026-07-06,challenger-week0-cta-text-v1,line_add,,manual_review,growth_loop,week0-cta-text,week0-post-001,cta-v1-diagnostic,
2026-07-06,challenger-week0-cta-text-v1,lead_submit,,manual_review,growth_loop,week0-cta-text,week0-post-001,cta-v1-diagnostic,
2026-07-06,challenger-week0-cta-text-v1,deal,,manual_review,growth_loop,week0-cta-text,week0-post-001,cta-v1-diagnostic,
2026-07-06,challenger-week0-cta-text-v1,quality_flag,,manual_review,growth_loop,week0-cta-text,week0-post-001,cta-v1-diagnostic,
2026-07-06,challenger-week0-cta-text-v1,link_click,,manual_review,growth_loop,week0-cta-text,week0-post-002,cta-v2-audit,
2026-07-06,challenger-week0-cta-text-v1,page_view,,manual_review,growth_loop,week0-cta-text,week0-post-002,cta-v2-audit,
2026-07-06,challenger-week0-cta-text-v1,cta_click,,manual_review,growth_loop,week0-cta-text,week0-post-002,cta-v2-audit,
2026-07-06,challenger-week0-cta-text-v1,line_add,,manual_review,growth_loop,week0-cta-text,week0-post-002,cta-v2-audit,
2026-07-06,challenger-week0-cta-text-v1,lead_submit,,manual_review,growth_loop,week0-cta-text,week0-post-002,cta-v2-audit,
2026-07-06,challenger-week0-cta-text-v1,deal,,manual_review,growth_loop,week0-cta-text,week0-post-002,cta-v2-audit,
2026-07-06,challenger-week0-cta-text-v1,quality_flag,,manual_review,growth_loop,week0-cta-text,week0-post-002,cta-v2-audit,
2026-07-06,challenger-week0-cta-text-v1,link_click,,manual_review,growth_loop,week0-cta-text,week0-post-003,cta-v3-sample,
2026-07-06,challenger-week0-cta-text-v1,page_view,,manual_review,growth_loop,week0-cta-text,week0-post-003,cta-v3-sample,
2026-07-06,challenger-week0-cta-text-v1,cta_click,,manual_review,growth_loop,week0-cta-text,week0-post-003,cta-v3-sample,
2026-07-06,challenger-week0-cta-text-v1,line_add,,manual_review,growth_loop,week0-cta-text,week0-post-003,cta-v3-sample,
2026-07-06,challenger-week0-cta-text-v1,lead_submit,,manual_review,growth_loop,week0-cta-text,week0-post-003,cta-v3-sample,
2026-07-06,challenger-week0-cta-text-v1,deal,,manual_review,growth_loop,week0-cta-text,week0-post-003,cta-v3-sample,
2026-07-06,challenger-week0-cta-text-v1,quality_flag,,manual_review,growth_loop,week0-cta-text,week0-post-003,cta-v3-sample,
